id_aluno,idade,curso,turno,modalidade,cidade,renda_familiar,horas_estudo_semana,frequencia_percentual,nota_anterior,acessos_ava_mes,atividades_entregues_percentual,horas_sono,distancia_km,internet_estavel,trabalha,recebeu_monitoria,satisfacao_curso,nota_final,aprovado,risco_evasao
AL00020,22,Desenvolvimento de Sistemas,Noturno,Presencial,Brusque,3755,6.4,70.5,4.5,31,83.3,5.5,10.2,Sim,Sim,Não,9,6.1,Não,Não
AL00021,16,Desenvolvimento de Sistemas,Noturno,Presencial,Indaial,5583,10.1,85.5,6.5,44,75.6,6.9,2.9,Não,Não,Não,8,4.9,Não,Não
AL00022,27,Administração,Matutino,Híbrido,Indaial,3907,10.5,89.8,4.1,25,87.2,7.5,7.2,Sim,Sim,Não,7,6.9,Sim,Não
AL00023,27,Administração,Noturno,Híbrido,Indaial,2123,3.8,83.2,6.6,40,78.4,7.3,27.1,Sim,Não,Não,4,6.1,Sim,Sim
AL00024,25,Eletromecânica,Noturno,Híbrido,Indaial,2174,0,90.2,5.6,32,61.3,6.6,13.6,Sim,Sim,Sim,6,6.2,Sim,Sim
AL00025,33,Administração,Matutino,Presencial,Blumenau,1591,5.5,65,7.7,34,73.8,6,5.3,Sim,Sim,Não,9,5.2,Não,Sim
AL00026,20,Eletromecânica,Noturno,Presencial,Brusque,5103,1.4,79.3,5.4,32,73.8,8,6.8,Sim,Sim,Não,8,5.3,Não,Não
AL00027,31,Desenvolvimento de Sistemas,Matutino,Presencial,Brusque,6610,3.3,78.2,2.9,33,80.3,6.8,24.4,Sim,Sim,Não,9,3.5,Não,Não
AL00028,21,Automação Industrial,Matutino,Híbrido,Brusque,2933,10.4,81.8,5.9,64,98.6,5.8,9.9,Sim,Sim,Não,7,6.8,Sim,Não
AL00029,23,Automação Industrial,Noturno,Híbrido,Timbó,2278,7.1,86.5,5.8,32,89.1,3.6,6.9,Sim,Sim,Não,5,6.2,Sim,Não
AL00030,29,Desenvolvimento de Sistemas,Matutino,Presencial,Blumenau,3755,3.4,79.5,7.8,31,57.1,7.2,7.9,Sim,Não,Não,9,6.1,Sim,Sim
AL00031,16,Administração,Matutino,Presencial,Gaspar,2030,5.9,87,5.7,42,70.3,6,4.5,Não,Sim,Não,5,6.5,Sim,Não
AL00032,19,Desenvolvimento de Sistemas,Matutino,Presencial,Timbó,3611,4.6,91.4,5.5,28,83.7,7.9,5.6,Sim,Não,Sim,8,6.4,Sim,Não
AL00033,22,Eletromecânica,Noturno,Presencial,Gaspar,3144,10.9,69.7,5.4,49,77,7,8.2,Sim,Sim,Não,7,5.3,Não,Não
AL00034,21,Automação Industrial,Noturno,Presencial,Indaial,4898,10.6,76.8,7.4,29,78.4,5.2,3.3,Sim,Sim,Não,8,5.9,Não,Não
AL00035,26,Desenvolvimento de Sistemas,Noturno,Presencial,Brusque,2439,11.6,84.7,6.4,45,97,5.2,13.7,Sim,Sim,Não,6,6.9,Sim,Não
AL00036,42,Administração,Matutino,Presencial,Blumenau,2428,11.5,,5.7,44,100,4.9,11.2,Sim,Sim,Não,8,5.5,Não,Não
AL00037,16,Automação Industrial,Matutino,Presencial,Gaspar,2105,12.3,86.8,5.9,30,68.8,8.3,12.8,Sim,Não,Não,8,5.9,Não,Não
AL00038,16,Administração,Matutino,Híbrido,Gaspar,3181,8.5,93.4,4,45,100,7.1,28.8,Sim,Não,Não,5,5.4,Não,Não
AL00039,31,Eletromecânica,Noturno,Presencial,Indaial,6886,2.7,71.3,5.2,37,77.5,6.7,1.9,Não,Sim,Não,6,5.5,Não,Não
AL00040,16,Automação Industrial,Noturno,Presencial,Gaspar,4331,2.4,82.7,,19,100,6.6,10.1,Sim,Não,Não,8,7.8,Sim,Não
AL00041,23,Desenvolvimento de Sistemas,Matutino,Híbrido,Timbó,2262,4.8,95,4.7,22,75.4,6.2,10.1,Sim,Sim,Não,6,5.6,Não,Não
AL00042,16,Desenvolvimento de Sistemas,Matutino,Presencial,Timbó,2457,7.9,81,6.8,27,74.8,8.8,7.8,Não,Não,Não,7,7.3,Sim,Não
AL00043,16,Desenvolvimento de Sistemas,Noturno,Híbrido,Blumenau,4820,1.2,100,8.2,32,82.9,6.9,8.9,Sim,Sim,Sim,9,7.8,Sim,Não
AL00044,27,Automação Industrial,Matutino,Presencial,Timbó,1452,10.6,79.9,5,23,99.8,5.2,9.4,Sim,Sim,Sim,7,8.3,Sim,Não
AL00045,30,Desenvolvimento de Sistemas,Matutino,Presencial,Brusque,8166,6.8,92.6,6.4,19,78,8.4,11.1,Sim,Não,Não,6,7.6,Sim,Não
AL00046,29,Automação Industrial,Matutino,Híbrido,Gaspar,9011,5.6,91.6,9.9,4,71.7,9.4,10.3,Sim,Não,Não,6,8.4,Sim,Não
AL00047,20,Eletromecânica,Noturno,Presencial,Indaial,1514,11.7,64.9,9.1,41,80.7,4,6.2,Sim,Não,Não,7,8.3,Não,Sim
AL00048,27,Administração,Noturno,Presencial,Timbó,2525,3.2,75.8,5.8,11,74,8.4,6,Sim,Sim,Não,5,5.7,Não,Sim
AL00049,36,Eletromecânica,Noturno,Presencial,Timbó,1744,7.9,75.5,7.6,27,72.3,7.9,7.1,Sim,Sim,Não,9,5.7,Não,Sim
AL00050,38,Automação Industrial,Noturno,Presencial,Pomerode,3718,1,91.2,5.2,40,96.8,8,3,Sim,Sim,Sim,4,6.9,Sim,Não
AL00051,33,Eletromecânica,Matutino,Presencial,Timbó,3970,15.1,84.9,5.7,43,100,5.3,8.7,Sim,Não,Não,6,8.4,Sim,Não
AL00052,22,Administração,Noturno,Presencial,Indaial,1879,13.5,77.5,5.4,50,95.6,5.7,6.3,Sim,Sim,Não,8,7.5,Sim,Não
AL00053,21,Desenvolvimento de Sistemas,Noturno,Híbrido,Indaial,1935,9.4,80.7,5.9,34,80.8,8.3,5.3,Não,Não,Não,4,5.1,Não,Não
AL00054,38,Administração,Matutino,Presencial,Gaspar,2018,4.5,76.4,6.9,31,89.2,7.3,6.3,Não,Sim,Não,7,6.8,Sim,Não
AL00055,37,Eletromecânica,Noturno,Presencial,Indaial,4014,8.2,96.9,,13,100,7.1,6.5,Sim,Não,Sim,7,8.1,Sim,Não
AL00056,32,Automação Industrial,Noturno,Presencial,Blumenau,4052,12.9,73.5,7.6,61,65.1,9.2,11.5,Sim,Não,Não,8,7.3,Não,Não
AL00057,25,Administração,Noturno,Presencial,Brusque,1354,11,94.7,7.9,36,96.6,5,2.3,Sim,Sim,Sim,6,7.9,Sim,Não
AL00058,16,Desenvolvimento de Sistemas,Noturno,Presencial,Brusque,1382,12.2,81.3,6.5,47,85.7,6,9.8,Sim,Sim,Não,9,6.5,Sim,Sim
AL00059,25,Administração,Matutino,Presencial,Gaspar,4159,9.1,100,3.8,26,98.3,5.3,38.9,Sim,Sim,Sim,9,8.4,Sim,Não
AL00060,16,Desenvolvimento de Sistemas,Matutino,Presencial,Pomerode,4248,8.2,79.8,7.2,39,91.8,9.2,20.2,Sim,Não,Sim,6,7.3,Sim,Não
AL00061,29,Automação Industrial,Noturno,Presencial,Blumenau,4134,3.6,73.2,4.1,33,52.8,6,4.1,Sim,Sim,Não,5,5.6,Não,Sim
AL00062,20,Automação Industrial,Noturno,Presencial,Gaspar,3399,3,71.3,7.2,17,87.3,6.7,3.9,Sim,Sim,Não,5,6.3,Não,Não
AL00063,24,Administração,Noturno,Presencial,Pomerode,1014,13.6,89.9,5.6,11,96.1,8.2,10.6,Não,Não,Não,5,5.6,Não,Não
AL00064,18,Automação Industrial,Noturno,Híbrido,Indaial,5831,7.9,97.6,,41,71,5.1,8.3,Sim,Sim,Não,10,7.1,Sim,Não
AL00065,38,Eletromecânica,Matutino,Presencial,Brusque,1499,13.7,72.7,6.9,22,100,6.8,10.3,Sim,Não,Não,8,6.5,Não,Não
AL00066,20,Eletromecânica,Matutino,Presencial,Timbó,2971,5.5,72.9,7.2,33,86.6,4.7,10.3,Sim,Sim,Não,8,6.4,Não,Não
AL00067,20,Eletromecânica,Matutino,Presencial,Gaspar,3589,4.9,94.3,6.8,40,45.1,7.5,11.5,Sim,Não,Não,4,6.3,Sim,Sim
AL00068,33,Eletromecânica,Noturno,Presencial,Blumenau,3843,1.6,70,3.8,19,98.9,7.6,7,Sim,Sim,Não,5,7.3,Não,Sim
AL00069,18,Automação Industrial,Matutino,Híbrido,Blumenau,,2.7,79.3,8.4,15,98.7,7,8.8,Sim,Sim,Sim,9,6.9,Sim,Não
AL00070,23,Eletromecânica,Noturno,Presencial,Brusque,1368,14,76.7,8.9,64,71.2,5.8,2.7,Sim,Sim,Não,9,6.8,Sim,Sim
AL00071,34,Desenvolvimento de Sistemas,Matutino,Híbrido,Brusque,3036,8.1,83.7,7.8,43,84.5,8.1,36.2,Sim,Sim,Sim,7,6.8,Sim,Não
AL00072,35,Administração,Noturno,Presencial,Brusque,3479,6.7,88.4,4.7,32,71.7,5.1,5.2,Sim,Sim,Não,8,5,Não,Não
AL00073,230,Desenvolvimento de Sistemas,Matutino,Presencial,Brusque,2974,7.4,82.7,7.7,47,97.9,5.9,12.5,Não,Sim,Não,8,6.7,Sim,Sim
AL00074,43,Automação Industrial,Noturno,Presencial,Indaial,1553,16.6,77.9,9.7,61,83.5,6.4,1.4,Sim,Não,Não,4,6.3,Sim,Não
AL00075,17,Eletromecânica,Matutino,Presencial,Brusque,2620,13.2,81.8,4.3,32,100,7.2,12.1,Não,Não,Não,6,5.7,Não,Não
AL00076,26,Eletromecânica,Noturno,Presencial,Blumenau,5451,6.8,78.7,8.3,45,84.8,6.4,11.2,Não,Sim,Não,8,6,Sim,Não
AL00077,20,Automação Industrial,Noturno,Presencial,Pomerode,3911,12.9,90.9,6.5,33,100,7.9,8.2,Sim,Não,Não,9,6.1,Sim,Não
AL00078,31,Automação Industrial,Matutino,Presencial,Brusque,2486,3.6,90.5,4.6,12,70.9,5.8,13.5,Sim,Sim,Não,9,6,Sim,Não
AL00079,34,Administração,Noturno,Presencial,Indaial,2152,3.6,89.6,4.5,34,100,6.6,21.6,Sim,Sim,Não,5,7.3,Sim,Sim
AL00080,28,Administração,Noturno,Presencial,Gaspar,5072,0.1,58.2,8.6,17,75.1,7.1,4.7,Sim,Sim,Não,9,4.8,Não,Sim
AL00081,27,Desenvolvimento de Sistemas,Matutino,Presencial,Indaial,1213,6.3,100,7,34,73.8,6.2,8.3,Não,Sim,Não,6,7.8,Sim,Não
AL00082,25,Eletromecânica,Noturno,Presencial,Gaspar,2942,6.4,68.3,8,28,90.7,7.4,8.9,Sim,Sim,Não,8,7.2,Não,Não
AL00083,24,Desenvolvimento de Sistemas,Noturno,Presencial,Blumenau,2447,0,85.9,4.3,14,66.6,6.7,55,Sim,Sim,Não,9,6,Sim,Não
AL00084,16,Desenvolvimento de Sistemas,Matutino,Presencial,Pomerode,2674,1.7,80.1,5.3,14,96.8,5.4,3.7,Sim,Sim,Sim,7,5.4,Não,Sim
AL00085,33,Desenvolvimento de Sistemas,Matutino,Presencial,Indaial,5132,7.6,88,8.5,46,99,6.4,6.1,Sim,Sim,Sim,10,8.8,Sim,Não
AL00086,37,Desenvolvimento de Sistemas,Noturno,Híbrido,Brusque,6950,10.5,85.7,7.3,44,83.6,4.5,15.1,Sim,Sim,Não,8,5.8,Não,Não
AL00087,40,Eletromecânica,Matutino,Presencial,Gaspar,3616,10.1,92.3,3.5,38,74.4,6.7,17.9,Sim,Sim,Sim,7,5.5,Não,Não
AL00088,27,Administração,Matutino,Presencial,Timbó,3415,10,85,,37,100,7.3,4,Sim,Não,Não,5,5.5,Não,Não
AL00089,32,Eletromecânica,Matutino,Presencial,Blumenau,3235,7.1,93.1,5.7,39,88.2,5.1,7.6,Sim,Sim,Não,9,7.6,Sim,Não
AL00090,19,Eletromecânica,Noturno,Presencial,Brusque,1057,9.1,92.2,6.8,32,87.7,7.9,4,Não,Sim,Não,8,6.5,Sim,Não
AL00091,35,Desenvolvimento de Sistemas,Noturno,Presencial,Indaial,4618,0.2,82.5,4.9,17,100,7.2,2.7,Sim,Sim,Não,8,5.8,Não,Não
AL00092,20,Automação Industrial,Matutino,Presencial,Gaspar,3861,10.2,70.1,7.6,40,76.9,6.2,7.9,Sim,Sim,Sim,4,8.1,Não,Não
AL00093,18,Eletromecânica,Matutino,Presencial,Brusque,1763,3.6,75,7.5,14,66.2,5.6,7.4,Sim,Sim,Não,8,7.7,Sim,Não
AL00094,20,Automação Industrial,Matutino,Híbrido,Indaial,1292,7.9,100,9.8,48,96.3,4.9,3.7,Sim,Não,Sim,5,9,Sim,Não
AL00095,26,Desenvolvimento de Sistemas,Noturno,Presencial,Blumenau,2879,9.4,67.8,3.7,32,85.1,7.2,9.1,Sim,Sim,Não,7,6.1,Não,Não
AL00096,17,Eletromecânica,Matutino,Presencial,Timbó,4011,5.4,100,4.4,42,60.6,6.8,8.8,Sim,Sim,Sim,5,6.7,Sim,Não
AL00097,37,Desenvolvimento de Sistemas,Matutino,Presencial,Brusque,10645,9.5,100,5,49,86.9,6.8,4.1,Sim,Não,Não,10,7,Sim,Não
AL00098,23,Administração,Noturno,Presencial,Blumenau,7611,6.9,88.7,5.2,39,59,7.8,16.9,Sim,Sim,Não,5,4.8,Não,Sim
AL00099,27,Desenvolvimento de Sistemas,Matutino,Presencial,Indaial,5831,9.1,89.6,4.4,34,78.7,8.5,9.7,Sim,Sim,Não,8,5.2,Não,Não
AL00100,28,Automação Industrial,Matutino,Presencial,Indaial,2002,10.4,89.2,7.4,31,100,5.9,11.8,Sim,Sim,Sim,8,8.8,Sim,Não
AL00101,20,Desenvolvimento de Sistemas,Noturno,Presencial,Indaial,1688,13.7,93.7,5.9,55,100,5.3,10.8,Não,Sim,Sim,5,7.5,Sim,Não
AL00102,16,Eletromecânica,Noturno,Presencial,Pomerode,2662,11.8,,10,51,85.4,6.6,13.7,Sim,Não,Não,7,6.5,Não,Não
AL00103,41,Eletromecânica,Noturno,Presencial,Indaial,3259,10.6,84.5,6.5,40,100,5,4.3,Sim,Sim,Não,10,6.1,Sim,Não
AL00104,19,Desenvolvimento de Sistemas,Matutino,Presencial,Brusque,1384,11.4,75.1,7.1,37,100,5,4.6,Sim,Sim,Não,8,6,Sim,Não
AL00105,17,Administração,Noturno,Presencial,Timbó,4683,5.5,62.2,6.4,24,100,5,5.9,Sim,Não,Não,6,5.6,Não,Sim
AL00106,26,Desenvolvimento de Sistemas,Matutino,Presencial,Blumenau,3542,9.5,81.9,7.1,33,66,6.1,6.1,Sim,Não,Não,5,5.5,Não,Sim
AL00107,27,Administração,Noturno,Híbrido,Indaial,9644,6.5,68.7,5.3,11,58.4,5.7,6,Sim,Sim,Não,4,5.1,Não,Não
AL00108,23,Eletromecânica,Matutino,Presencial,Pomerode,2855,4.8,89.8,5.6,25,84.8,6.2,9.5,Sim,Não,Sim,3,6.3,Sim,Não
AL00109,16,Administração,Noturno,Presencial,Pomerode,2454,8,100,6.7,39,98.4,8,12.2,Sim,Não,Sim,8,7.2,Sim,Não
AL00110,21,Desenvolvimento de Sistemas,Matutino,Presencial,Blumenau,4674,9,85.3,7.4,27,80,8.1,5.5,Sim,Não,Não,6,6.4,Sim,Não
AL00111,24,Eletromecânica,Noturno,Presencial,Pomerode,4482,9.7,89.4,8.2,29,99.7,6.8,6,Sim,Sim,Não,6,9.2,Sim,Não
AL00112,26,Automação Industrial,Noturno,Presencial,Indaial,9722,10.7,88.9,6.6,34,63.8,6.4,2.5,Sim,Sim,Sim,9,6.7,Sim,Não
AL00113,27,Automação Industrial,Noturno,Presencial,Brusque,1490,9.5,91,6.3,30,78,6.1,3.5,Não,Não,Não,6,5.7,Não,Não
AL00114,47,Administração,Matutino,Presencial,Pomerode,912,10.9,92.7,5.2,48,96.6,6.3,5,Sim,Sim,Não,6,7.5,Sim,Não
AL00115,42,Automação Industrial,Matutino,Presencial,Gaspar,2884,7.5,69.7,7.3,49,78.6,6.6,5,Sim,Sim,Sim,8,5.9,Não,Sim
AL00116,32,Automação Industrial,Noturno,Presencial,Timbó,1548,7.7,100,7.1,23,100,9,5.5,Sim,Sim,Não,7,7.9,Sim,Não
AL00117,19,Eletromecânica,Noturno,Presencial,Gaspar,6565,4.9,71.8,8.4,61,91,6.6,3.2,Sim,Sim,Não,5,7.8,Não,Não
AL00118,35,Automação Industrial,Noturno,Presencial,Gaspar,8730,7,75.3,5.2,43,72.1,5.8,2.9,Não,Sim,Sim,8,5.2,Não,Não
AL00119,28,Eletromecânica,Noturno,Híbrido,Indaial,9361,2.2,73.5,6.5,16,77,7,17.3,Sim,Sim,Não,9,6.4,Não,Não
AL00120,40,Automação Industrial,Noturno,Presencial,Blumenau,3265,1.3,75.7,7.1,21,83.8,6.4,11.7,Não,Sim,Não,7,6.1,Sim,Não
AL00121,22,Automação Industrial,Matutino,Presencial,Gaspar,3795,12.3,71.5,8.4,44,75.5,6.8,3.9,Sim,Não,Não,5,6.3,Não,Não
AL00122,44,Desenvolvimento de Sistemas,Noturno,Presencial,Timbó,3525,10.4,84.2,6.7,35,94.8,7.5,18.2,Sim,Sim,Não,6,7.1,Sim,Não
AL00123,26,Eletromecânica,Noturno,Presencial,Blumenau,8567,9.6,87.3,6.4,41,76.9,8.6,6.2,Sim,Sim,Não,8,7.4,Sim,Não
AL00124,29,Automação Industrial,Noturno,Presencial,Timbó,1652,3.2,90.3,7.5,30,100,5.8,6.5,Sim,Sim,Sim,6,7.5,Sim,Não
AL00125,31,Administração,Noturno,Presencial,Pomerode,4259,8.6,72.3,7.1,23,96.3,6.4,12,Sim,Sim,Não,4,7.1,Não,Não
AL00126,26,Desenvolvimento de Sistemas,Noturno,Presencial,Blumenau,5707,8.6,83.9,6.6,39,73.4,8.1,3.6,Sim,Não,Não,7,7.1,Sim,Não
AL00127,21,Eletromecânica,Noturno,Híbrido,Pomerode,5597,10.7,88.8,,52,60.6,7.1,6.6,Sim,Não,Não,7,6.4,Sim,Não
AL00128,35,Administração,Noturno,Híbrido,Indaial,5789,9.2,92.9,9.8,29,90,6,5.9,Sim,Sim,Sim,9,7.4,Sim,Sim
AL00129,30,Desenvolvimento de Sistemas,Matutino,Presencial,Timbó,1788,8.3,86.6,4.1,48,81.3,6.3,10.9,Sim,Sim,Não,6,5.7,Não,Não
AL00130,22,Eletromecânica,Noturno,Presencial,Pomerode,1961,17.4,76.8,7.5,62,100,7.1,23.1,Não,Não,Não,5,8.8,Sim,Sim
AL00131,45,Administração,Noturno,Híbrido,Timbó,9020,9.5,79.5,4.4,43,88.4,5.4,9.9,Sim,Não,Não,6,6.3,Sim,Não
AL00132,22,Eletromecânica,Matutino,Presencial,Timbó,2055,5.7,73.2,7.1,35,85.9,6.3,9.1,Sim,Sim,Não,7,6.3,Não,Não
AL00133,30,Eletromecânica,Noturno,Presencial,Indaial,4708,8.2,66,7.4,49,74.8,6.5,10.1,Sim,Sim,Não,8,6.3,Não,Sim
AL00134,17,Automação Industrial,Noturno,Presencial,Blumenau,2655,3.9,70.8,5.5,28,57.9,4.9,4.2,Sim,Sim,Não,7,5,Não,Não
AL00135,21,Administração,Noturno,Presencial,Pomerode,2193,15,68.7,5.9,67,100,7.8,4.6,Não,Sim,Não,8,6.9,Não,Não
AL00136,29,Desenvolvimento de Sistemas,Matutino,Presencial,Timbó,5920,9,92.4,6.6,38,70.6,6.3,23.6,Sim,Sim,Não,6,5.7,Não,Não
AL00137,23,Administração,Noturno,Presencial,Brusque,3984,5.3,87.5,5.2,31,86.1,7.4,18.9,Sim,Sim,Não,6,5.7,Não,Não
AL00138,19,Administração,Matutino,Presencial,Indaial,3168,9.8,91.5,6,49,72.7,6.1,5.4,Sim,Não,Sim,7,7.4,Sim,Não
AL00139,16,Eletromecânica,Matutino,Híbrido,Timbó,2609,7.6,100,5,40,86,6.1,5.5,Sim,Sim,Não,6,6.5,Sim,Não
AL00140,28,Eletromecânica,Noturno,Presencial,Brusque,6070,1.8,78.1,5.8,20,59,7.9,18.5,Sim,Não,Não,8,4.7,Não,Não
AL00141,29,Desenvolvimento de Sistemas,Noturno,Presencial,Gaspar,3310,4.3,85.1,5.6,17,64.9,5.9,9.6,Sim,Sim,Sim,5,5.1,Não,Não
AL00142,40,Desenvolvimento de Sistemas,Matutino,Híbrido,Pomerode,2064,9.7,72.3,5.2,32,87.1,6.7,20.1,Sim,Sim,Não,8,5.8,Não,Sim
AL00143,21,Administração,Matutino,Presencial,Blumenau,3212,12.1,79.9,6.5,29,93.5,8,5.2,Sim,Não,Não,6,7.4,Sim,Não
AL00144,26,Administração,Noturno,Presencial,Timbó,2065,7.6,80.6,8.1,19,99.9,7.6,17.7,Sim,Sim,Sim,6,8,Sim,Não
AL00145,16,Desenvolvimento de Sistemas,Noturno,Presencial,Blumenau,3600,10.3,81.9,2.3,49,100,5.4,3.8,Sim,Não,Sim,7,6.7,Sim,Não
AL00146,16,Eletromecânica,Matutino,Presencial,Pomerode,3439,5.8,96.3,7.6,49,97,8.9,8.2,Sim,Não,Não,8,8.4,Sim,Não
AL00147,19,Administração,Matutino,Presencial,Timbó,4551,6.3,78.9,7.8,35,46.6,5.9,15.4,Sim,Sim,Não,7,5.5,Não,Não
AL00148,27,Desenvolvimento de Sistemas,Noturno,Presencial,Pomerode,6330,7.1,67.8,7.9,36,72,6.1,2.9,Sim,Não,Não,9,6.6,Não,Sim
AL00149,21,Eletromecânica,Matutino,Presencial,Pomerode,4514,20.3,76.2,6.1,40,100,6.6,5,Sim,Não,Sim,8,6.7,Sim,Sim
AL00150,31,Desenvolvimento de Sistemas,Noturno,Presencial,Gaspar,2826,13.5,57.4,8.4,51,98.9,8.4,14.4,Sim,Não,Sim,7,8,Não,Não
AL00151,25,Automação Industrial,Matutino,Presencial,Brusque,4484,5.4,92.4,7.4,36,72,5.6,5,Sim,Sim,Sim,9,7,Sim,Não
AL00152,20,Desenvolvimento de Sistemas,Noturno,Presencial,Gaspar,2847,7.8,88.9,4.8,29,76.4,8.3,2.6,Sim,Não,Não,8,6.5,Sim,Não
AL00153,39,Desenvolvimento de Sistemas,Matutino,Presencial,Indaial,2351,12.1,80.7,8.3,63,92.2,6,9.1,Sim,Não,Não,4,7.1,Sim,Não
AL00154,40,Desenvolvimento de Sistemas,Matutino,Presencial,Indaial,1541,13.1,68.2,7.4,64,100,7.8,9.3,Sim,Sim,Não,7,7.9,Não,Não
AL00155,19,Eletromecânica,Noturno,Presencial,Gaspar,1917,11.9,63.9,6.2,52,83.4,8.2,6.7,Sim,Não,Não,7,6.8,Não,Não
AL00156,25,Administração,Matutino,Presencial,Pomerode,4136,12.1,86,6.5,70,99.9,5.6,6.3,Sim,Sim,Não,6,8.2,Sim,Sim
AL00157,22,Automação Industrial,Noturno,Presencial,Gaspar,3058,10,89.5,6.7,19,100,9.1,2.3,Sim,Sim,Não,6,5.8,Não,Não
AL00158,22,Eletromecânica,Noturno,Presencial,Gaspar,2125,6.2,93.7,9.1,18,90.4,5.5,4.7,Sim,Sim,Sim,6,8.5,Sim,Não
AL00159,34,Administração,Matutino,Presencial,Indaial,8183,8.9,72.1,3.9,50,82,5.9,18.1,Sim,Sim,Sim,9,6.7,Não,Sim
AL00160,29,Desenvolvimento de Sistemas,Noturno,Presencial,Blumenau,1704,6.6,80.7,6,21,100,4.4,7.9,Sim,Sim,Não,8,8.7,Sim,Não
AL00161,22,Desenvolvimento de Sistemas,Noturno,Presencial,Timbó,1542,13.2,,6.8,11,100,7.2,2.4,Não,Sim,Não,6,6.2,Sim,Sim
AL00162,30,Desenvolvimento de Sistemas,Noturno,Presencial,Timbó,1658,6.1,74.6,8.6,29,86.6,6.6,41.7,Sim,Sim,Não,6,6.1,Não,Não
AL00163,28,Automação Industrial,Matutino,Presencial,Brusque,1952,7.4,59,3.4,15,79.3,7.3,2.5,Não,Sim,Não,7,3.8,Não,Sim
AL00164,24,Eletromecânica,Matutino,Presencial,Blumenau,1768,15.9,85.5,7.1,39,100,7.9,11,Sim,Não,Não,7,7.7,Sim,Não
AL00165,39,Eletromecânica,Matutino,Presencial,Brusque,4479,7.7,76.8,7.7,49,70.9,5.2,1.9,Sim,Sim,Não,9,7.8,Sim,Não
AL00166,22,Automação Industrial,Noturno,Presencial,Timbó,2751,11.4,87.8,6,33,97.6,6.1,12.2,Sim,Não,Não,5,7.5,Sim,Sim
