ID,Renda,Divida,Score_Credito,Valor_Solicitado,Profissao,Emprestimo_Aprovado
89,8134.0,182,552,59676,Servidor,Não
90,5891.0,14105,723,67914,CLT,Não
91,11551.0,8094,834,54353,CLT,Sim
92,11947.0,12026,416,90448,Autônomo,Não
93,16710.0,6651,416,20054,Servidor,Não
94,9013.0,9522,870,94145,Autônomo,Sim
95,12435.0,7751,633,91584,Autônomo,Não
96,16081.0,585,782,26191,CLT,Sim
97,17607.0,131,882,7285,Empresário,Sim
98,6332.0,7313,778,30654,Autônomo,Sim
99,14996.0,4485,584,43881,Autônomo,Não
100,17373.0,4830,531,56208,CLT,Não
101,9940.0,3371,422,7009,Servidor,Não
102,4559.0,8024,460,54123,CLT,Não
103,10229.0,11234,439,23032,Servidor,Não
104,4557.0,5263,453,10934,Empresário,Não
105,12290.0,7933,708,59605,Servidor,Sim
106,6250.0,6666,321,48651,CLT,Não
107,18398.0,8328,655,71711,Autônomo,Sim
108,18216.0,3592,461,78039,CLT,Não
109,15843.0,7793,338,80014,CLT,Não
110,8533.0,1408,759,45912,Empresário,Sim
111,2137.0,14575,698,7169,CLT,Não
112,14135.0,9758,687,64299,Empresário,Sim
113,11174.0,14830,574,59855,Empresário,Não
114,17952.0,3942,811,57500,CLT,Sim
115,16477.0,12061,765,93752,Empresário,Sim
116,3247.0,3099,596,17433,Autônomo,Não
117,13946.0,5143,890,55837,Empresário,Sim
118,2617.0,2959,746,89144,Autônomo,Sim
119,15577.0,5475,573,98693,Empresário,Não
120,10305.0,1657,637,37979,Empresário,Não
121,16801.0,10904,492,29557,Autônomo,Não
122,16226.0,4639,538,56320,Empresário,Não
123,7396.0,225,612,34678,Empresário,Não
124,4307.0,9154,394,16797,Autônomo,Não
125,8116.0,1613,787,71201,Autônomo,Sim
126,2913.0,5225,618,1989,Servidor,Não
127,4869.0,6102,522,24655,CLT,Não
128,14801.0,10929,816,64081,CLT,Sim
129,16504.0,8225,594,35362,Autônomo,Não
130,3957.0,7443,536,56023,Empresário,Não
131,12708.0,1471,491,66079,Autônomo,Não
132,13452.0,5731,944,43292,Empresário,Sim
133,11866.0,1824,750,41634,Empresário,Sim
134,5418.0,11934,725,6290,CLT,Não
135,3989.0,2285,360,87068,Autônomo,Não
136,13943.0,6383,490,59033,Empresário,Não
137,8023.0,6856,757,87053,Empresário,Sim
138,14049.0,14762,737,81069,Empresário,Sim
139,3576.0,6189,907,87067,Empresário,Sim
140,7648.0,1153,739,36689,CLT,Sim
141,19784.0,8390,585,5092,Autônomo,Não
142,16626.0,9273,779,38938,Empresário,Sim
143,6468.0,2230,611,47942,CLT,Não
144,2673.0,4156,756,15946,Servidor,Sim
145,19165.0,493,808,73122,Autônomo,Sim
146,14677.0,12959,919,46280,Servidor,Sim
147,2373.0,4975,521,79316,Empresário,Não
148,9459.0,4870,314,20520,Servidor,Não
149,6675.0,1632,882,56540,CLT,Sim
150,16863.0,7147,550,71114,Empresário,Não
